type,subject,tertile,est,ll,ul
bayes,math,1,-6.55864997141831e-4,-0.010816515180101512,0.00950478281951513
bayes,math,2,0.01984547747041476,0.009152586758162617,0.030538417249320014
bayes,math,3,0.032587148681180365,0.017226148867164653,0.047948190320504465
bayes,rla,1,-0.006722193676444473,-0.015679830729015673,0.0022354271207019262
bayes,rla,2,-0.021990057219481496,-0.031245730784596547,-0.012734483172785747
bayes,rla,3,-0.0056984334539358404,-0.018894865291137982,0.0074976315432300905
bayes,math,1_1,-0.08457948603327244,-0.13829585869994862,-0.03090917002969766
bayes,math,1_2,0.04121973670548323,-0.06011907561475153,0.14286180029608733
bayes,math,1_3,0.13169073004695053,-0.02164094404900107,0.2899244453000834
bayes,math,10_2,-0.017351534516229023,-0.1306417353804882,0.09573178968005998
bayes,math,10_3,0.015303646189150607,-0.07947229345767448,0.11016689941925303
bayes,math,11_2,0.14484747899734834,0.012619274670968413,0.28021319776667003
bayes,math,12_1,0.02122357193799268,-0.009808195950419573,0.05225652270172093
bayes,math,12_2,0.011814890346717288,-0.020596784944331488,0.044227971669058584
bayes,math,12_3,0.07513909687536434,0.036302470933307115,0.11398623626336431
bayes,math,13_1,0.037978208726173954,0.01250059459864285,0.06345631237064218
bayes,math,13_2,0.08339765844631948,0.016161314654883855,0.15076108702678687
bayes,math,13_3,0.22245486679370424,0.13755122927687857,0.3080735907012961
bayes,math,17_1,-0.014959263727108365,-0.06879522494674424,0.03886833808946946
bayes,math,17_2,0.01439006225498609,-0.017979400438817367,0.04676016369425142
bayes,math,17_3,-0.019251847330534918,-0.05708771981170173,0.018581835325193124
bayes,math,17_NA,2.405418463707408e-17,-0.19155320532148118,0.19155320532148165
bayes,math,18_1,-0.0433265489189995,-0.09773245544683186,0.011052964906637317
bayes,math,18_2,0.0012366840731050518,-0.024761144148490084,0.027234425753218695
bayes,math,18_3,0.015040196194706174,-0.012366734373152947,0.042447443876242955
bayes,math,22_1,0.011361617683539991,-0.01799548725626526,0.04071920585226071
bayes,math,22_2,0.0012048258360690465,-0.03632348153367529,0.038733492099610446
bayes,math,22_3,-0.006962558957456707,-0.06794342922361032,0.05401251804019493
bayes,math,23_1,-0.06933030297205202,-0.15321575660078385,0.014299633681662661
bayes,math,23_2,-0.036918029730755864,-0.10391793403456717,0.03002147590114846
bayes,math,23_3,2.405418463707408e-17,-0.19155320532148118,0.19155320532148165
bayes,math,24_1,-0.14047410692542753,-0.22596417694146076,-0.05552254305923807
bayes,math,24_2,-0.08684447353735661,-0.16674846901735324,-0.007236766399270578
bayes,math,24_3,0.01101662610126555,-0.03159659671695138,0.05363071661817404
bayes,math,25_1,0.02900842893689413,-0.08372701884788884,0.14208671198124617
bayes,math,25_2,-0.011727879748324727,-0.1014923216080416,0.07798806521925611
bayes,math,25_3,-0.028698228133875372,-0.07974355594975174,0.022333059295329985
