type,subject,tertile,est,ll,ul
bayes,math,1,0.007576280278672273,-0.003546415119148391,0.018698969450850034
bayes,math,2,-0.011741059424510068,-0.020931238836315844,-0.002550912056283311
bayes,math,3,0.04154460958454531,0.02898217352001356,0.05410698102706314
bayes,rla,1,0.007387669787072522,-0.0022862821677149575,0.017061641121253662
bayes,rla,2,-0.012423063437196768,-0.020381637640527,-0.004464487800561883
bayes,rla,3,0.03520671379085591,0.024296943391859505,0.04611646760010306
bayes,math,1_1,-0.04688693649092839,-0.1010394649144581,0.007196502067996257
bayes,math,10_3,0.011392119566151626,-0.08838528559811526,0.11136640056852146
bayes,math,11_2,0.03650697906719933,-0.12383315002750435,0.20268903325806642
bayes,math,12_1,0.03134179062360719,-0.02488824044318839,0.08763638817190565
bayes,math,12_2,0.0326389432910098,4.755049656702112e-4,0.0648114271902398
bayes,math,12_3,0.020738282617436786,-0.01039903885522725,0.05188021740392776
bayes,math,13_1,0.07446512972563446,0.04690113260054287,0.10203807294842517
bayes,math,13_2,0.03904862091714521,-0.0072746402446745686,0.08541394394785408
bayes,math,13_3,0.14501030806783008,0.06243189398466534,0.2290596389137862
bayes,math,17_2,-0.054712007758867275,-0.10367391620812384,-0.0058795295290389625
bayes,math,17_3,0.02055563890217954,-0.005580089757261791,0.046691480426624465
bayes,math,18_2,-0.023818607666024103,-0.055974210876564796,0.008333799808890052
bayes,math,18_3,0.010940020154788078,-0.010783308930239845,0.032663713083166464
bayes,math,22_1,-0.004330167877610599,-0.03379587648292474,0.025135273443486084
bayes,math,22_2,0.0027322655839661725,-0.034209106422688436,0.039676312228191075
bayes,math,22_3,0.03600371246699196,-0.020093439634082735,0.0921678282482224
bayes,math,23_2,0.1477428627432537,0.04783864485605028,0.250723438546719
bayes,math,23_3,-0.1066540058981681,-0.16420251571016128,-0.04927083520250188
bayes,math,24_1,0.01647211079265953,-0.030320338217185164,0.06328139659165587
bayes,math,24_2,-0.012651428877008758,-0.07723319939232101,0.051914277687454345
bayes,math,24_3,0.04277444278571632,-0.0752537153939096,0.1625285113838443
bayes,math,25_2,-0.13242081241747644,-0.26427257309266433,-0.007800408758738804
bayes,math,25_3,-0.00838839276647357,-0.07297404395444275,0.05611856400809167
bayes,math,26_1,0.024524185800422853,-0.03976945456336917,0.08887808667580155
bayes,math,26_2,0.0010380313130580376,-0.04661732438836179,0.04867838957980139
bayes,math,26_3,-0.1095050726155303,-0.23356246129244987,0.00970929336053499
bayes,math,28_1,-0.14578186962634443,-0.20948256217629926,-0.0825057658992029
bayes,math,29_1,0.05190020581119958,-0.03509157133018325,0.13948183311454623
bayes,math,29_2,0.004868472466968331,-0.04017016964136261,0.04992083289907526
bayes,math,29_3,-0.021010578648600137,-0.07117806128476803,0.029135052029694946
bayes,math,33_2,0.01875092249058512,-0.05795570212457321,0.09557664328838887
bayes,math,33_3,-0.020274527993762923,-0.07836390074430233,0.0377758143696699
