type,subject,grade,est,ll,ul
bayes,math,3,0.982038441,0.971157863,0.992926701
bayes,math,4,-0.833716073,-1.392747672,-0.274840015
bayes,math,5,2.577353123,1.847894111,3.306832759
bayes,math,6,-1.014383404,-1.116597551,-0.912155678
bayes,math,7,-2.120508881,-2.242213654,-1.99877549
bayes,math,8,-0.44350676,-0.517841723,-0.369171695
bayes,rla,3,0.961985095,0.952377534,0.97159675
bayes,rla,4,-1.669972892,-2.167986383,-1.172158158
bayes,rla,5,2.939377205,2.306694277,3.572183418
bayes,rla,6,-1.632463623,-1.720364805,-1.544590784
bayes,rla,7,-2.30923035,-2.414945257,-2.20356159
bayes,rla,8,9.79E-04,-0.062563773,0.064519983
