type,subject,state,est,ll,ul
bayes,math,99,NA,NA,NA
bayes,math,1,-0.6435520375021161,-0.8477518919648506,-0.44544385002301373
bayes,math,12,0.1676913772182009,-0.028136917392004596,0.3653051297594913
bayes,math,13,0.026296219325723482,-0.14508295813843303,0.1976332324692939
bayes,math,22,-0.28056105608205145,-0.48242867051977106,-0.08161065789375958
bayes,math,34,0.21700859629162222,-0.03737159530635025,0.4764423442637212
bayes,math,37,0.3420747692684716,0.15992634046760315,0.5266764855372369
bayes,math,45,-0.12615635102722317,-0.34001444379968193,0.08596104794773554
bayes,math,48,0.29719955363208933,0.1264363390295841,0.4699176400328109
bayes,rla,99,NA,NA,NA
bayes,rla,1,-0.1960379566972141,-0.3964309365362549,-0.0011410743539813598
bayes,rla,12,0.4017228118627541,0.2061773978780944,0.6047751966604069
bayes,rla,13,0.008191145752083913,-0.16427055530749377,0.17934474608932938
bayes,rla,22,-0.2088368443792745,-0.412124534861175,-0.011521887760509223
bayes,rla,34,0.2581299898842712,0.005398755814100943,0.5229768975963078
bayes,rla,37,0.16502184097573583,-0.016790271602670836,0.34889998145920503
bayes,rla,45,-0.2692982810501116,-0.4887177535477766,-0.05807509789911173
bayes,rla,48,-0.1588942456499501,-0.3298393310354996,0.010256276144762579
