type,subject,state,est,ll,ul
bayes,math,99,0.012273842941112799,-0.03716601362257923,0.061713515285417575
bayes,math,1,0.1415086764544429,-0.029075393703229868,0.34011523968245394
bayes,math,12,0.18041628795229522,0.10173993250765187,0.26076488718413565
bayes,math,13,-0.05873186433686613,-0.15850407998792496,0.03905414170913485
bayes,math,22,-0.10948000792447299,-0.3891612407427423,0.10979600010433456
bayes,math,34,-0.11851413507758113,-0.33337676959936985,0.06334746512750983
bayes,math,37,-0.09632330516002915,-0.2095867662898624,0.012430047154657339
bayes,math,45,-0.08316363793476618,-0.2827665698088167,0.09303640309391198
bayes,math,48,-0.10043875032108619,-0.21590896384212363,0.010119639564134692
bayes,rla,99,0.009051918570236473,-0.03277599932289644,0.0508801967645047
bayes,rla,1,0.07888110061446091,-0.0661407379715214,0.24715617359574574
bayes,rla,12,0.03493414456918065,-0.030423173508702862,0.10091781937792892
bayes,rla,13,0.0015482225748476364,-0.0844756744412351,0.08765990793720477
bayes,rla,22,-0.05517559438699956,-0.297626642241919,0.14455599392214663
bayes,rla,34,-0.05468785896673248,-0.23420328342516386,0.10242099297196122
bayes,rla,37,0.15054804121275442,0.0489026430045837,0.25996529235858695
bayes,rla,45,0.11095598873111731,-0.04744744907939811,0.30487167206457677
bayes,rla,48,-0.16718695578214515,-0.2611472364126152,-0.07791728464871768
