type,subject,tertile,est,ll,ul
bayes,math,1,0.02911103360100047,-0.36714463851203816,0.42536969458690055
bayes,math,2,-0.020424014179008212,-0.07948091862450993,0.038630975252514785
bayes,math,3,-0.09776420520343962,-0.1644893679393473,-0.03104495548232571
bayes,rla,1,0.06827619027482718,-0.2763953503019143,0.4129503583839253
bayes,rla,2,-0.014220434468398428,-0.06589683248019487,0.03745428324003236
bayes,rla,3,-0.14523751738926738,-0.20310216952181975,-0.08737699333928939
bayes,math,1_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,math,1_2,0.26405573407329475,0.02158354656615166,0.5379878678171496
bayes,math,1_3,-0.03685005194357298,-0.30072014639788636,0.21455076825563552
bayes,math,12_1,0.017438465640579423,-0.24829379546156688,0.29023002168230705
bayes,math,12_2,0.15162913411243634,3.712615969815644e-5,0.31156579452681366
bayes,math,12_3,0.1670707141926174,0.07505738424140593,0.26043853247045895
bayes,math,13_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,math,13_2,0.3307445084436518,0.024622552154993604,0.6833491483975379
bayes,math,13_3,-0.07889130444041403,-0.18620711389695338,0.0270079176292571
bayes,math,22_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,math,22_2,-0.027858615783289575,-0.32803550955518024,0.24597530435383172
bayes,math,22_3,-0.11784797951765213,-0.39141834805097464,0.11960751625438575
bayes,math,34_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,math,34_2,-0.1645297013445821,-0.40147229217106967,0.04670818792169357
bayes,math,34_3,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,math,37_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,math,37_2,-0.20674593085324808,-0.3591053396407965,-0.06136507142788976
bayes,math,37_3,0.05656595564747982,-0.1097243518962844,0.22836997418919983
bayes,math,45_2,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,math,45_3,-0.17040741076367544,-0.40216303053112445,0.03702545043039525
bayes,math,48_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,math,48_2,-0.12279835047878596,-0.2946961011898646,0.037488094065622195
bayes,math,48_3,-0.07374399194940849,-0.1897475244465241,0.03756064070280981
bayes,rla,1_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,rla,1_2,0.26405573407329475,0.02158354656615166,0.5379878678171496
bayes,rla,1_3,-0.03685005194357298,-0.30072014639788636,0.21455076825563552
bayes,rla,12_1,0.017438465640579423,-0.24829379546156688,0.29023002168230705
bayes,rla,12_2,0.15162913411243634,3.712615969815644e-5,0.31156579452681366
bayes,rla,12_3,0.1670707141926174,0.07505738424140593,0.26043853247045895
bayes,rla,13_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,rla,13_2,0.3307445084436518,0.024622552154993604,0.6833491483975379
bayes,rla,13_3,-0.07889130444041403,-0.18620711389695338,0.0270079176292571
bayes,rla,22_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,rla,22_2,-0.027858615783289575,-0.32803550955518024,0.24597530435383172
bayes,rla,22_3,-0.11784797951765213,-0.39141834805097464,0.11960751625438575
bayes,rla,34_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,rla,34_2,-0.1645297013445821,-0.40147229217106967,0.04670818792169357
bayes,rla,34_3,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,rla,37_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,rla,37_2,-0.20674593085324808,-0.3591053396407965,-0.06136507142788976
bayes,rla,37_3,0.05656595564747982,-0.1097243518962844,0.22836997418919983
bayes,rla,45_2,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,rla,45_3,-0.17040741076367544,-0.40216303053112445,0.03702545043039525
bayes,rla,48_1,-1.1689656226997336e-17,-0.40055461998145153,0.40055461998144953
bayes,rla,48_2,-0.12279835047878596,-0.2946961011898646,0.037488094065622195
bayes,rla,48_3,-0.07374399194940849,-0.1897475244465241,0.03756064070280981
