type,subject,tertile,est,ll,ul
bayes,math,1,0.016404039390251847,-0.04763320065620298,0.0804412453483853
bayes,math,2,0.036225476145576946,0.012593309441392243,0.059858629637148296
bayes,math,3,0.046582539698806893,0.01050187389703024,0.08266510311488505
bayes,rla,1,0.010132477428531513,-0.04181197277311828,0.06207733750031699
bayes,rla,2,0.002691339440797409,-0.01635369211539167,0.0217372893406747
bayes,rla,3,-0.010803065570116547,-0.03956141286510799,0.017957252024066235
bayes,math,1_1,0.14290382111337932,-0.06713607960929316,0.3618018268684869
bayes,math,1_2,0.04086821058628809,-0.21138619089293287,0.2984236758570101
bayes,math,1_3,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,math,12_1,0.09997969749281994,0.003041816907441408,0.19727074750267606
bayes,math,12_2,0.07747806948856713,-0.11030422263050745,0.2686714963153241
bayes,math,12_3,0.4158120667299962,0.22527296731439653,0.6133242053867701
bayes,math,13_1,-0.05717113445010454,-0.17161275974936752,0.05694478415058739
bayes,math,13_2,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,math,13_3,0.33676978662006923,0.06580795039124125,0.6374874877650157
bayes,math,22_1,-0.0037647712687099194,-0.20527445545770331,0.19732897562376728
bayes,math,22_2,0.030456503391218144,-0.16593257993230423,0.22640380485317096
bayes,math,22_3,-0.05533149428280797,-0.2951035003700876,0.1790112093365104
bayes,math,34_1,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,math,34_3,-0.022459663245527246,-0.3797091306941639,0.3264507814867498
bayes,math,37_1,0.03503536543691555,-0.29735532687539756,0.37873808843443635
bayes,math,37_2,-0.21415450481366313,-0.3737064503213639,-0.05833096287635887
bayes,math,37_3,-0.10076859730382888,-0.29190101407583435,0.08615214635071838
bayes,math,45_1,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,math,45_2,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,math,45_3,-0.19331747105615413,-0.4048543946508523,0.00885049227432378
bayes,math,48_1,-0.11341448399541942,-0.26573070813091515,0.035492264250982224
bayes,math,48_2,-0.17757745329663063,-0.30115873293402523,-0.05623727311903248
bayes,math,48_3,0.097997634633202907,-0.2245584519756693,0.44977456124588344
bayes,math,34_2,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,rla,1_1,0.14290382111337932,-0.06713607960929316,0.3618018268684869
bayes,rla,1_2,0.04086821058628809,-0.21138619089293287,0.2984236758570101
bayes,rla,1_3,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,rla,12_1,0.09997969749281994,0.003041816907441408,0.19727074750267606
bayes,rla,12_2,0.07747806948856713,-0.11030422263050745,0.2686714963153241
bayes,rla,12_3,0.4158120667299962,0.22527296731439653,0.6133242053867701
bayes,rla,13_1,-0.05717113445010454,-0.17161275974936752,0.05694478415058739
bayes,rla,13_2,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,rla,13_3,0.33676978662006923,0.06580795039124125,0.6374874877650157
bayes,rla,22_1,-0.0037647712687099194,-0.20527445545770331,0.19732897562376728
bayes,rla,22_2,0.030456503391218144,-0.16593257993230423,0.22640380485317096
bayes,rla,22_3,-0.05533149428280797,-0.2951035003700876,0.1790112093365104
bayes,rla,34_1,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,rla,34_3,-0.022459663245527246,-0.3797091306941639,0.3264507814867498
bayes,rla,37_1,0.03503536543691555,-0.29735532687539756,0.37873808843443635
bayes,rla,37_2,-0.21415450481366313,-0.3737064503213639,-0.05833096287635887
bayes,rla,37_3,-0.10076859730382888,-0.29190101407583435,0.08615214635071838
bayes,rla,45_1,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,rla,45_2,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
bayes,rla,45_3,-0.19331747105615413,-0.4048543946508523,0.00885049227432378
bayes,rla,48_1,-0.11341448399541942,-0.26573070813091515,0.035492264250982224
bayes,rla,48_2,-0.17757745329663063,-0.30115873293402523,-0.05623727311903248
bayes,rla,48_3,0.097997634633202907,-0.2245584519756693,0.44977456124588344
bayes,rla,34_2,2.0698626712898948e-17,-0.3547717541228467,0.3547717541228462
