type,subject,tertile,est,ll,ul
bayes,math,1,-0.021823423889346417,-0.08684767504356578,0.04320076056103561
bayes,math,2,-0.011989320572823751,-0.030664643573610637,0.0066864785664904405
bayes,math,3,0.01083453546140839,-0.022514853439222132,0.04418438083393539
bayes,rla,1,0.030115807075270305,-0.023810893108268224,0.08404225662316638
bayes,rla,2,-0.0017679675382977114,-0.017214245985409198,0.013678655009587346
bayes,rla,3,0.02039436510054482,-0.00765645043970718,0.048445609621010625
bayes,math,1_1,0.14330762511767098,-0.03096622402487872,0.33673083112685437
bayes,math,12_1,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,math,12_2,0.19385187083724348,0.09413176657100128,0.2962108348205755
bayes,math,12_3,0.10458182345041937,-0.023581564490430966,0.23788935385001808
bayes,math,13_1,0.01778231615570273,-0.08858626235392356,0.12463710499972752
bayes,math,13_2,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,math,13_3,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,math,22_1,0.0010551981636575773,-0.1979884819680777,0.19809961704750742
bayes,math,22_2,-0.008983997706133886,-0.21131985843420792,0.19086957903729604
bayes,math,22_3,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,math,34_2,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,math,34_3,-0.018553584553409535,-0.3459031614753251,0.29208326628387093
bayes,math,37_1,-0.0715622780327984,-0.2564163784930347,0.10199541194137521
bayes,math,37_2,-0.13261731405682572,-0.32143686094572027,0.03894748125867
bayes,math,37_3,-0.23125770051892006,-0.4875943970902552,-0.015828170262402297
bayes,math,45_1,-0.19453991839846357,-0.4194759436694202,3.3429052331653377e-4
bayes,math,45_2,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,math,45_3,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,math,48_1,-0.1303361529132336,-0.2479946457377182,-0.01770859529134809
bayes,math,48_2,-0.04405384714217111,-0.25327495694583085,0.14947164519065648
bayes,math,48_3,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,math,1_2,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,math,1_3,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,rla,1_1,0.14330762511767098,-0.03096622402487872,0.33673083112685437
bayes,rla,12_1,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,rla,12_2,0.19385187083724348,0.09413176657100128,0.2962108348205755
bayes,rla,12_3,0.10458182345041937,-0.023581564490430966,0.23788935385001808
bayes,rla,13_1,0.01778231615570273,-0.08858626235392356,0.12463710499972752
bayes,rla,13_2,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,rla,13_3,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,rla,22_1,0.0010551981636575773,-0.1979884819680777,0.19809961704750742
bayes,rla,22_2,-0.008983997706133886,-0.21131985843420792,0.19086957903729604
bayes,rla,22_3,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,rla,34_2,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,rla,34_3,-0.018553584553409535,-0.3459031614753251,0.29208326628387093
bayes,rla,37_1,-0.0715622780327984,-0.2564163784930347,0.10199541194137521
bayes,rla,37_2,-0.13261731405682572,-0.32143686094572027,0.03894748125867
bayes,rla,37_3,-0.23125770051892006,-0.4875943970902552,-0.015828170262402297
bayes,rla,45_1,-0.19453991839846357,-0.4194759436694202,3.3429052331653377e-4
bayes,rla,45_2,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,rla,45_3,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,rla,48_1,-0.1303361529132336,-0.2479946457377182,-0.01770859529134809
bayes,rla,48_2,-0.04405384714217111,-0.25327495694583085,0.14947164519065648
bayes,rla,48_3,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,rla,1_2,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
bayes,rla,1_3,5.520794821957415e-18,-0.32023909211249446,0.3202390921124945
