model_term,count_positive,posterior_prob_positive,posterior_prob_negative
Alabama,3503,70.06%,29.94%
Florida,4773,95.46%,4.54%
Georgia,2824,56.48%,43.52%
Louisiana,2612,52.24%,47.76%
New Jersey,1800,36.00%,64.00%
North Carolina,3910,78.20%,21.80%
South Carolina,2989,59.78%,40.22%
Texas,6,0.12%,99.88%
Native American,0,0.00%,100.00%
Asian,5000,100.00%,0.00%
Hispanic,0,0.00%,100.00%
Black,0,0.00%,100.00%
Free lunch,4994,99.88%,0.12%
ELL,0,0.00%,100.00%
Special ed,5000,100.00%,0.00%
Urban,4993,99.86%,0.14%
Econ disadvantage,0,0.00%,100.00%
BA,5000,100.00%,0.00%
Poverty,1781,35.62%,64.38%
Single mom,3623,72.46%,27.54%
