type,subject,tertile,est,ll,ul
bayes,math,1,0.0046517996031301845,-0.005774359505288226,0.01507795394041281
bayes,math,2,0.018724300128165953,0.007864335356100247,0.02958431584801731
bayes,math,3,0.025759684683567697,0.009881412096190586,0.04163799639344425
bayes,rla,1,-0.00636634456002004,-0.015447213504969234,0.002714560562726544
bayes,rla,2,-0.020494080602551108,-0.029803867979450407,-0.011184199425740447
bayes,rla,3,-0.013711096641294863,-0.027206410407652662,-2.1556320907717733e-4
bayes,math,1_1,-0.086109679926807,-0.14143417926028345,-0.030842966039591347
bayes,math,1_2,0.038980109299627135,-0.06142361045386788,0.13964698373691356
bayes,math,1_3,0.13410570753020007,-0.018902030935374167,0.29244036028582154
bayes,math,10_2,-0.0165163389225311,-0.12892881775637466,0.09572001678799384
bayes,math,10_3,0.02342016749328809,-0.09551422282157965,0.14268989444688196
bayes,math,11_2,0.12443495997497835,-0.029976280686034956,0.2840199017808447
bayes,math,12_1,0.019119632442595187,-0.012361171322143902,0.050601795480171866
bayes,math,12_2,-9.77439680725413e-4,-0.03910012823638488,0.03714685689692265
bayes,math,12_3,0.0758686692129676,0.03235176647242181,0.11940578890390427
bayes,math,13_1,0.05613418521629992,0.03029910652632355,0.08197152204352567
bayes,math,13_2,0.0440949724735038,-0.02848938924286955,0.11677593241069115
bayes,math,13_3,0.22140135974007777,0.13762914381963304,0.30597256380538096
bayes,math,17_1,-0.01450217310109012,-0.06761092618852464,0.03859736066421018
bayes,math,17_2,0.014435757406633517,-0.017474531457088556,0.04634653062870505
bayes,math,17_3,-0.01899883166020956,-0.05629260053781507,0.01829244786734516
bayes,math,18_1,-0.045235877599040866,-0.10256131802318091,0.012054443635275365
bayes,math,18_2,4.36539013142922e-4,-0.02529241095704849,0.026165439861283432
bayes,math,18_3,0.015203329006155694,-0.01200367234229931,0.042411148436159736
bayes,math,22_1,0.011728330370583118,-0.017421939064586715,0.04087909609841623
bayes,math,22_2,0.002057717976001371,-0.03526258126600848,0.03937840396619854
bayes,math,22_3,-0.005710057327078819,-0.06590902237380893,0.05448479968277336
bayes,math,23_1,-0.07158196853882884,-0.15451843477368238,0.011105092729255462
bayes,math,23_2,-0.03846038046963712,-0.10461755796320765,0.027636461872577487
bayes,math,23_3,5.994570932250151e-18,-0.1926152419075785,0.19261524190757864
bayes,math,24_2,-0.07555757922957235,-0.15451604773849448,0.003168477064103527
bayes,math,24_3,0.05416061027328811,0.006271797760778338,0.10206890239977201
bayes,math,25_3,-0.041075591879445095,-0.10652053574235348,0.024318470222121833
bayes,math,26_1,0.03960929046418208,-0.04926828303957758,0.12865948235234687
bayes,math,26_2,-0.022106721952928825,-0.0728485111638863,0.028629657369687728
bayes,math,26_3,0.01571112311249559,-0.056077617806218366,0.08752832526755594
bayes,math,28_1,0.01703457805164753,-0.021825730764201825,0.05590146087890781
bayes,math,28_2,0.18560307010548882,0.1174497464715505,0.2540525929625327
bayes,math,28_3,5.994570932250151e-18,-0.1926152419075785,0.19261524190757864
bayes,math,29_1,-0.0011828436809172907,-0.04317065118880248,0.040807681479562534
bayes,math,29_2,0.05881729433995729,-0.014501354428239122,0.1322526907701939
bayes,math,29_3,-0.04587221055406703,-0.12114243287778027,0.02930216619611097
bayes,math,33_2,0.018141284935000303,-0.10312384293172745,0.13969555636973244
bayes,math,33_3,-0.00698406308419332,-0.05997805860472726,0.046007307483450416
bayes,math,34_1,-2.874972618159705e-4,-0.12396563074018338,0.1233853451759729
bayes,math,34_3,1.5958739154222246e-4,-0.05692991337746722,0.0572501138087253
