type,subject,tertile,est,ll,ul
bayes,math,1,0.0073530554905852285,-0.0037684110977131958,0.018474512508014764
bayes,math,2,-0.011527907655600498,-0.02071702120068386,-0.0023388156957347187
bayes,math,3,0.04250556500955442,0.029942547297422246,0.05506854673619951
bayes,rla,1,0.007292726767017366,-0.0023806506091741345,0.016966122892707425
bayes,rla,2,-0.012419178660408701,-0.020377213354877417,-0.004461142404868708
bayes,rla,3,0.03564813177168398,0.02473824581747794,0.04655800241055813
bayes,math,1_1,-0.049031310112079195,-0.10424836446366635,0.006171391632612427
bayes,math,10_3,0.013187815941128209,-0.09399952723944399,0.12042175494353116
bayes,math,11_2,0.05419208934846404,-0.1409951993377494,0.2516922931818311
bayes,math,12_1,0.0314312360690617,-0.02605114303686779,0.0889258547184031
bayes,math,12_2,0.03336139879363053,9.579117148259139e-4,0.06576658336072864
bayes,math,12_3,0.021481834169142483,-0.009865783251793657,0.05283034054482809
bayes,math,13_1,0.0756240483539583,0.04792424135139051,0.10332553127239268
bayes,math,13_2,0.040999429089827635,-0.006009418386410387,0.08801654521391293
bayes,math,13_3,0.1582094016833617,0.07234178799742334,0.24432893951629517
bayes,math,17_2,-0.05839876211461424,-0.10803999834823043,-0.008782600431616555
bayes,math,17_3,0.020687506092399083,-0.005573853616876367,0.046948699713366224
bayes,math,18_2,-0.024513286441059684,-0.056904865119565606,0.007877888859565363
bayes,math,18_3,0.011304515458096217,-0.010492866923949252,0.03310209270806837
bayes,math,22_1,-0.004421143600530116,-0.034076957545021463,0.02523456466278936
bayes,math,22_2,0.00274765955087447,-0.03456086765286844,0.04005671954034321
bayes,math,22_3,0.037250428307454814,-0.020086585083075564,0.09459961671072095
bayes,math,23_2,0.17040198128294015,0.06424717155269614,0.2771494977511114
bayes,math,23_3,-0.10828482420472958,-0.16702187810689204,-0.049575004609874206
bayes,math,24_1,0.01352504587720541,-0.03400637471469709,0.06105963808720154
bayes,math,24_2,-0.01306711888409348,-0.07958297195667519,0.05344747696540607
bayes,math,24_3,0.05256847114642469,-0.07810182431944972,0.18369622424513715
bayes,math,25_2,-0.164335236499293,-0.3038916605717289,-0.026440670418795695
bayes,math,25_3,-0.009674508937893454,-0.07612837095113678,0.05676136601163621
bayes,math,26_1,0.02659936434708268,-0.03961387414029439,0.09282368089095894
bayes,math,26_2,1.6631812689073017e-4,-0.04830432216573727,0.04863239455663273
bayes,math,26_3,-0.1348578233244174,-0.26733161976182956,-0.003530718937055626
bayes,math,28_1,-0.1543880257620405,-0.21928573053121106,-0.08956296092596788
bayes,math,29_1,0.05864932572983522,-0.033129456202506936,0.15055593006877022
bayes,math,29_2,0.005091259916762026,-0.040648535947137465,0.05083418198852106
bayes,math,29_3,-0.021500580467377184,-0.07254680050527457,0.029541432894658045
bayes,math,33_2,0.021028778461476074,-0.05891862892235723,0.10100344283858981
bayes,math,33_3,-0.022584951519774566,-0.08202851547325868,0.03685132202374471
bayes,math,34_2,-0.02209171144612396,-0.20359318732765994,0.15873226670217877
bayes,math,34_3,4.780277271334102e-5,-0.05116417181438042,0.051259813351612137
bayes,math,36_1,4.805607155315923e-18,-0.2123444533131327,0.21234445331313295
bayes,math,36_2,-0.021575418868011297,-0.11861375287161531,0.07539934384152146
bayes,math,36_3,-0.12998220465043736,-0.19051839566657786,-0.06949835660901471
bayes,math,37_1,-0.0015145884587813168,-0.032823891410855024,0.02979453494063715
bayes,math,37_2,-0.021001641545925563,-0.0517275548895047,0.009722951764743982
bayes,math,37_3,-0.15920046087749049,-0.21424646846844364,-0.10419803075597706
bayes,math,39_1,0.038639629974009486,-0.08315715307573918,0.16069420518241875
bayes,math,39_2,0.011337958765232387,-0.02714665220626393,0.04982440726019603
