type,subject,state,est,ll,ul,var
bayes,math,99,5.494871784,5.414962067,5.574696531,
bayes,math,99,-0.002554193,-0.008759618,0.003651243,
bayes,math,99,-0.494020694,-0.862977112,-0.125063273,
bayes,math,99,1.568872529,1.143201774,1.9945403,
bayes,math,99,-0.924608489,-1.023812252,-0.825415306,
bayes,math,99,-1.694525987,-1.788750062,-1.600278405,
bayes,math,99,-0.008484768,-0.040898186,0.023928132,
bayes,math,99,-0.62102598,-0.841987609,-0.400069101,
bayes,math,99,0.006197034,-0.055087764,0.067481641,
bayes,math,99,0.862921711,0.743824397,0.982018406,
bayes,math,99,-0.283968713,-0.317400386,-0.250537513,
bayes,math,99,1.62965126,1.463178925,1.79610384,
bayes,math,99,-0.692647014,-0.830464785,-0.554827463,
bayes,math,99,0.085627912,-0.063173976,0.234429712,
