type,subject,state,est,ll,ul
bayes,math,99,NA,NA,NA
bayes,math,1,-0.649783141432042,-0.8535765301470566,-0.44681391463966
bayes,math,12,0.1660606357589011,-0.035854582092335684,0.36827899337225073
bayes,math,13,0.02900283341776013,-0.1478276735669137,0.205831917617312
bayes,math,22,-0.2851671643428139,-0.4905067468210118,-0.08030963049083069
bayes,math,34,0.22189239932701155,-0.04023212305766966,0.4848258202509759
bayes,math,37,0.3458858760770231,0.15788879658396568,0.534300810262404
bayes,math,45,-0.13199832078360402,-0.35064097198607325,0.08633513707181129
bayes,math,48,0.30410743402714124,0.12740942321708038,0.4811378259650489
bayes,rla,99,NA,NA,NA
bayes,rla,1,-0.16959155108121027,-0.3687523568387287,0.02450569514875279
bayes,rla,12,0.3805861945384395,0.18565463123814224,0.5827857771406336
bayes,rla,13,0.01786294513836933,-0.15346373772101962,0.18816592284600567
bayes,rla,22,-0.2005527510110108,-0.4027694968555419,-0.004207819438849781
bayes,rla,34,0.23484507928035378,-0.016345107695859482,0.49738665631545015
bayes,rla,37,0.1592969532121557,-0.021467927693352363,0.34236145276662244
bayes,rla,45,-0.2741043092008082,-0.49281955640059233,-0.06355513915165574
bayes,rla,48,-0.14834377506096608,-0.3182690819657822,0.019861201041824306
