type,subject,state,est,ll,ul
bayes,math,99,0.012294107354157546,-0.03714349281138594,0.06173152917420438
bayes,math,1,0.14184187899786022,-0.02895704991417281,0.33954253125963396
bayes,math,12,0.1806827071088831,0.10206561603709632,0.26095613332718864
bayes,math,13,-0.058788252863941584,-0.15865006859419314,0.03916780238338611
bayes,math,22,-0.10965987611046175,-0.3871381856844869,0.10997164713438297
bayes,math,34,-0.11870793936924093,-0.3326033450364172,0.06350182291288843
bayes,math,37,-0.09645152582903604,-0.20969965041566302,0.012456885070133865
bayes,math,45,-0.08328172270622856,-0.28239314361311746,0.09335921266808622
bayes,math,48,-0.1005212847729512,-0.21594750664201415,0.01017848948825999
bayes,rla,99,0.009062731814917482,-0.032763675490615596,0.05088947386308043
bayes,rla,1,0.07792380005288081,-0.06670825991716181,0.24334499615037672
bayes,rla,12,0.03502921843646335,-0.030423216950904563,0.10092019990045442
bayes,rla,13,0.0015686083425073879,-0.08447986952585176,0.08768171673596387
bayes,rla,22,-0.05348405911475591,-0.2928102140215434,0.14285789390004097
bayes,rla,34,-0.053751743004374304,-0.23007425349375005,0.1025770653132841
bayes,rla,37,0.15062935351104006,0.05096539252550208,0.2577235992839059
bayes,rla,45,0.10918416522204494,-0.04803514159054911,0.30092957515046587
bayes,rla,48,-0.1674554154756025,-0.2593401999170609,-0.08024257796243565
