type,subject,tertile,est,ll,ul
bayes,math,1,-0.010228703022923285,-0.07171854190274592,0.051261002593851926
bayes,math,2,0.0403250684710981,0.01690863044647177,0.06374242074919619
bayes,math,3,0.057798850713890806,0.023136132288788983,0.0924633127325856
bayes,rla,1,-7.63816989401457e-4,-0.052256087086053574,0.05072836647338706
bayes,rla,2,0.00321296316383844,-0.016002949193346803,0.022429764372351425
bayes,rla,3,7.367309391971959e-5,-0.028103862891140842,0.028253035273821715
bayes,math,1_1,0.12856252673440674,-0.07512775113051857,0.34124079106116273
bayes,math,1_2,0.03634721394842489,-0.2028740794233368,0.2804478490604566
bayes,math,1_3,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,math,12_1,0.09340233160153164,-0.004781317866508154,0.1919653595224169
bayes,math,12_2,0.12379590817438968,-0.03350079754016569,0.28418949717720277
bayes,math,12_3,0.3363810633752133,0.1804966503278127,0.49878670549251913
bayes,math,13_1,-0.14122420688038226,-0.2494413913011851,-0.03373460715357483
bayes,math,13_2,-3.3976403073640784e-5,-0.25980643664537506,0.25972589252125783
bayes,math,13_3,0.2868978438516192,0.035486216155596786,0.5757893059960119
bayes,math,22_1,-0.007488236607153891,-0.19571013265386447,0.1793727906322792
bayes,math,22_2,0.023764723776652605,-0.15896357029692346,0.2050176642166046
bayes,math,22_3,-0.06004375128695326,-0.28601026338557445,0.15952339526116693
bayes,math,34_1,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,math,34_2,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,math,34_3,-0.12765965657563683,-0.3343505852002588,0.0709692604019402
bayes,math,37_1,-0.038541592256840604,-0.2252915570473065,0.14634062284143656
bayes,math,37_2,-0.2058424076131874,-0.36538240202418115,-0.05082200601895843
bayes,math,37_3,-0.0934520570264515,-0.2811911987438581,0.08996067778222377
bayes,math,45_1,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,math,45_2,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,math,45_3,-0.17958862449695165,-0.38641786697825387,0.016869116536357698
bayes,math,48_1,-0.07458069907155519,-0.22200322854620283,0.07042823305546886
bayes,math,48_2,-0.12116322402760733,-0.23651960886932263,-0.007299780514742933
bayes,math,48_3,0.10980822209089201,-0.17521803223766727,0.4252807867676943
bayes,math,48_NA,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,rla,1_1,0.12856252673440674,-0.07512775113051857,0.34124079106116273
bayes,rla,1_2,0.03634721394842489,-0.2028740794233368,0.2804478490604566
bayes,rla,1_3,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,rla,12_1,0.09340233160153164,-0.004781317866508154,0.1919653595224169
bayes,rla,12_2,0.12379590817438968,-0.03350079754016569,0.28418949717720277
bayes,rla,12_3,0.3363810633752133,0.1804966503278127,0.49878670549251913
bayes,rla,13_1,-0.14122420688038226,-0.2494413913011851,-0.03373460715357483
bayes,rla,13_2,-3.3976403073640784e-5,-0.25980643664537506,0.25972589252125783
bayes,rla,13_3,0.2868978438516192,0.035486216155596786,0.5757893059960119
bayes,rla,22_1,-0.007488236607153891,-0.19571013265386447,0.1793727906322792
bayes,rla,22_2,0.023764723776652605,-0.15896357029692346,0.2050176642166046
bayes,rla,22_3,-0.06004375128695326,-0.28601026338557445,0.15952339526116693
bayes,rla,34_1,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,rla,34_2,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,rla,34_3,-0.12765965657563683,-0.3343505852002588,0.0709692604019402
bayes,rla,37_1,-0.038541592256840604,-0.2252915570473065,0.14634062284143656
bayes,rla,37_2,-0.2058424076131874,-0.36538240202418115,-0.05082200601895843
bayes,rla,37_3,-0.0934520570264515,-0.2811911987438581,0.08996067778222377
bayes,rla,45_1,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,rla,45_2,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
bayes,rla,45_3,-0.17958862449695165,-0.38641786697825387,0.016869116536357698
bayes,rla,48_1,-0.07458069907155519,-0.22200322854620283,0.07042823305546886
bayes,rla,48_2,-0.12116322402760733,-0.23651960886932263,-0.007299780514742933
bayes,rla,48_3,0.10980822209089201,-0.17521803223766727,0.4252807867676943
bayes,rla,48_NA,2.456990126938686e-17,-0.315250191058763,0.31525019105876234
