type,subject,tertile,est,ll,ul
bayes,math,1,0.053509903741229665,-0.33229809351811346,0.43932114810214795
bayes,math,2,5.795164812325894e-4,-0.05853618599769279,0.05969332097990982
bayes,math,3,-0.06966377412979505,-0.13706903820223781,-0.002264186826013714
bayes,rla,1,0.06428385705159512,-0.2632704678795929,0.3918401066071147
bayes,rla,2,-0.02806637400166813,-0.07859412857621959,0.022459255151297042
bayes,rla,3,-0.15140219690627058,-0.20874744109849366,-0.09406364885623891
bayes,math,1_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,math,1_2,0.27768472586884985,0.031967839425240646,0.5435999692812084
bayes,math,1_3,-0.036598404508545554,-0.29751096459884363,0.21379689148555223
bayes,math,12_1,0.028155661082798284,-0.23494619891990787,0.30076535572858587
bayes,math,12_2,0.15272998038681015,0.003270161840784887,0.3091444374806278
bayes,math,12_3,0.1609896872381133,0.06110455742894148,0.2620993505492801
bayes,math,13_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,math,13_2,0.351944060056262,0.03664402045630506,0.6926742904434239
bayes,math,13_3,-0.0016270509271541017,-0.11602551591363823,0.11282714070174234
bayes,math,22_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,math,22_2,-0.020542563541265473,-0.31598211750821126,0.2562441235212931
bayes,math,22_3,-0.10953864877479048,-0.37815431155395657,0.12946158145592368
bayes,math,34_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,math,34_2,-0.02446686489224748,-0.42998043402269615,0.36644780728937953
bayes,math,34_3,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,math,37_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,math,37_2,-0.17975159772004504,-0.3280260193787977,-0.0366707548693462
bayes,math,37_3,-0.0756029181966619,-0.32645814936279816,0.15707870840284877
bayes,math,45_2,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,math,45_3,-0.16171382934593312,-0.386583829590979,0.04275982866430268
bayes,math,48_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,math,48_2,-0.14733555557071085,-0.3286888147442138,0.02152947139804453
bayes,math,48_3,-0.11253146372000729,-0.2359133189164433,0.005454406886418845
bayes,rla,1_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,rla,1_2,0.27768472586884985,0.031967839425240646,0.5435999692812084
bayes,rla,1_3,-0.036598404508545554,-0.29751096459884363,0.21379689148555223
bayes,rla,12_1,0.028155661082798284,-0.23494619891990787,0.30076535572858587
bayes,rla,12_2,0.15272998038681015,0.003270161840784887,0.3091444374806278
bayes,rla,12_3,0.1609896872381133,0.06110455742894148,0.2620993505492801
bayes,rla,13_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,rla,13_2,0.351944060056262,0.03664402045630506,0.6926742904434239
bayes,rla,13_3,-0.0016270509271541017,-0.11602551591363823,0.11282714070174234
bayes,rla,22_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,rla,22_2,-0.020542563541265473,-0.31598211750821126,0.2562441235212931
bayes,rla,22_3,-0.10953864877479048,-0.37815431155395657,0.12946158145592368
bayes,rla,34_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,rla,34_2,-0.02446686489224748,-0.42998043402269615,0.36644780728937953
bayes,rla,34_3,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,rla,37_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,rla,37_2,-0.17975159772004504,-0.3280260193787977,-0.0366707548693462
bayes,rla,37_3,-0.0756029181966619,-0.32645814936279816,0.15707870840284877
bayes,rla,45_2,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,rla,45_3,-0.16171382934593312,-0.386583829590979,0.04275982866430268
bayes,rla,48_1,-2.8205725931721994e-17,-0.40092614350906103,0.40092614350906036
bayes,rla,48_2,-0.14733555557071085,-0.3286888147442138,0.02152947139804453
bayes,rla,48_3,-0.11253146372000729,-0.2359133189164433,0.005454406886418845
