type,subject,tertile,est,ll,ul
bayes,math,1,-0.02094514558266288,-0.08593875855628078,0.04404839691128679
bayes,math,2,-0.011376922192398912,-0.030044364684879726,0.007290993474102523
bayes,math,3,0.012121392162114948,-0.02121434846818636,0.04545754425056481
bayes,rla,1,0.029736409980590715,-0.02416686573431536,0.08363945623537938
bayes,rla,2,-0.001853129480328875,-0.01729280474020912,0.01358688736855778
bayes,rla,3,0.020733604232306857,-0.007305150337336768,0.04877276117842454
bayes,math,1_1,0.14254521680155705,-0.030615192220041394,0.33494361505344483
bayes,math,12_1,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,math,12_2,0.19643257183446053,0.09658478903537562,0.29894987604567635
bayes,math,12_3,0.10191510478298588,-0.025663813529053506,0.23472489265858568
bayes,math,13_1,0.019215959532109243,-0.08680153761253082,0.12578361659342988
bayes,math,13_2,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,math,13_3,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,math,22_1,-9.8010510194476e-5,-0.19643049288773656,0.19389052906139226
bayes,math,22_2,-0.009277883429660617,-0.20884049038996838,0.1874702777160666
bayes,math,22_3,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,math,34_2,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,math,34_3,-0.01785915996001827,-0.3372715763104966,0.2862320265097253
bayes,math,37_1,-0.07123802962851587,-0.25500608703940997,0.1010474127552654
bayes,math,37_2,-0.12625537129716968,-0.3131266254552782,0.04376411315087078
bayes,math,37_3,-0.21639740233677815,-0.4662893008471099,-0.0054199865685782295
bayes,math,45_1,-0.1888933867164539,-0.41105214504509935,0.003983852251169374
bayes,math,45_2,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,math,45_3,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,math,48_1,-0.13242404079986467,-0.24994191766368,-0.02007701447393258
bayes,math,48_2,-0.04296169742679606,-0.2503718141853634,0.14882681947906182
bayes,math,48_3,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,math,1_2,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,math,1_3,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,rla,1_1,0.14254521680155705,-0.030615192220041394,0.33494361505344483
bayes,rla,12_1,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,rla,12_2,0.19643257183446053,0.09658478903537562,0.29894987604567635
bayes,rla,12_3,0.10191510478298588,-0.025663813529053506,0.23472489265858568
bayes,rla,13_1,0.019215959532109243,-0.08680153761253082,0.12578361659342988
bayes,rla,13_2,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,rla,13_3,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,rla,22_1,-9.8010510194476e-5,-0.19643049288773656,0.19389052906139226
bayes,rla,22_2,-0.009277883429660617,-0.20884049038996838,0.1874702777160666
bayes,rla,22_3,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,rla,34_2,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,rla,34_3,-0.01785915996001827,-0.3372715763104966,0.2862320265097253
bayes,rla,37_1,-0.07123802962851587,-0.25500608703940997,0.1010474127552654
bayes,rla,37_2,-0.12625537129716968,-0.3131266254552782,0.04376411315087078
bayes,rla,37_3,-0.21639740233677815,-0.4662893008471099,-0.0054199865685782295
bayes,rla,45_1,-0.1888933867164539,-0.41105214504509935,0.003983852251169374
bayes,rla,45_2,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,rla,45_3,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,rla,48_1,-0.13242404079986467,-0.24994191766368,-0.02007701447393258
bayes,rla,48_2,-0.04296169742679606,-0.2503718141853634,0.14882681947906182
bayes,rla,48_3,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,rla,1_2,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
bayes,rla,1_3,-6.271319255757588e-18,-0.3129206202069709,0.31292062020697015
